time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy,37994,9846,232,3303,53,496,747,51,10706,10324,332,1038,175,691,25.9,0.6,8.7,0.1,1.3,2,0.1,28.2,27.2,0.9,2.7,0.5,1.8
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy (resourced provision),676,231,26,28,2,2,13,0,85,255,5,8,8,13,34.2,3.8,4.1,0.3,0.3,1.9,0,12.6,37.7,0.7,1.2,1.2,1.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy (SEN unit),639,201,14,45,0,0,11,0,84,240,9,8,1,26,31.5,2.2,7,0,0,1.7,0,13.1,37.6,1.4,1.3,0.2,4.1
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - free school,2013,575,9,182,7,19,38,2,544,500,17,61,10,49,28.6,0.4,9,0.3,0.9,1.9,0.1,27,24.8,0.8,3,0.5,2.4
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - free school (resourced provision),18,5,0,4,0,0,0,0,3,5,0,1,0,0,27.8,0,22.2,0,0,0,0,16.7,27.8,0,5.6,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - independent,1131,344,10,83,2,20,32,0,389,156,8,64,13,10,30.4,0.9,7.3,0.2,1.8,2.8,0,34.4,13.8,0.7,5.7,1.1,0.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - LA maintained,29654,8363,200,2345,52,317,598,94,5978,10146,291,677,143,450,28.2,0.7,7.9,0.2,1.1,2,0.3,20.2,34.2,1,2.3,0.5,1.5
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - LA maintained (resourced provision),744,255,30,43,0,5,13,9,74,291,10,7,6,1,34.3,4,5.8,0,0.7,1.7,1.2,9.9,39.1,1.3,0.9,0.8,0.1
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - LA maintained (SEN unit),373,136,5,26,0,1,10,1,29,153,6,4,1,1,36.5,1.3,7,0,0.3,2.7,0.3,7.8,41,1.6,1.1,0.3,0.3
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Mainstream - total,73242,19956,526,6059,116,860,1462,157,17892,22070,678,1868,357,1241,27.2,0.7,8.3,0.2,1.2,2,0.2,24.4,30.1,0.9,2.6,0.5,1.7
